Occupation,Job Zone,Code,Synonyms
event,,,"['event', 'outcome', 'case', 'upshot', 'issue', 'consequence', 'effect', 'result']"
nurses,,,"['nurse', 'nanny', 'nursemaid']"
poet,,,['poet']
recycling workers,,,[]
chefs,,,['chef']
biophysicists,,,['biophysicist']
engraver,,,['engraver']
supervisor,,,"['executive program', 'supervisory program', 'supervisor']"
physicians,,,"['Dr.', 'physician', 'doc', 'doctor', 'MD', 'medico']"
diagnostic sonographers,,,[]
judge,,,"['justice', 'evaluator', 'jurist', 'judge']"
electromechanical technicians,,,[]
chiropractor,,,['chiropractor']
operators,,,"['wheeler dealer', 'operator', 'hustler', 'manipulator']"
designers,,,"['room decorator', 'decorator', 'couturier', 'interior decorator', 'graphic designer', 'fashion designer', 'designer', 'intriguer', 'architect', 'clothes designer', 'house decorator', 'interior designer']"
directors,,,"['managing director', 'manager', 'conductor', 'theater director', 'director', 'music director', 'theatre director', 'film director']"
processors,,,"['central processor', 'mainframe', 'CPU', 'central processing unit', 'processor', 'C.P.U.']"
marketing,,,"['marketing', 'merchandising', 'selling']"
illustrators,,,['illustrator']
guide,,,"['scout', 'templet', 'template', 'guidebook', 'usher', 'pathfinder', 'guide']"
correctional,,,[]
firefighter,,,"['fire-eater', 'firefighter', 'fireman', 'fire fighter']"
examiner,,,"['quizzer', 'tester', 'examiner', 'inspector']"
dentists,,,"['dental practitioner', 'dentist', 'tooth doctor']"
conductors,,,"['music director', 'director', 'conductor']"
inspectors,,,"['examiner', 'inspector']"
makers,,,"['Lord', 'Godhead', 'maker', 'Almighty', 'shaper', 'manufacturer', 'God Almighty', 'Creator', 'Maker', 'Divine', 'Jehovah', 'manufacturing business']"
butler,,,"['pantryman', 'butler', 'Samuel Butler', 'Butler']"
officer,,,"['officeholder', 'police officer', ""ship's officer"", 'officer', 'military officer', 'policeman']"
presser,,,[]
blockmasons,,,[]
computer,,,"['estimator', 'information processing system', 'reckoner', 'data processor', 'computing device', 'calculator', 'figurer', 'computer', 'electronic computer', 'computing machine']"
astronaut,,,"['spaceman', 'astronaut', 'cosmonaut']"
epidemiologists,,,['epidemiologist']
science,,,"['scientific discipline', 'science', 'skill']"
sommelier,,,"['wine waiter', 'sommelier', 'wine steward']"
referees,,,"['ref', 'reader', 'reviewer', 'referee']"
pipefitters,,,[]
driver,,,"['driver', 'number one wood', 'device driver']"
automotive,,,[]
porters,,,"['Porter', 'Pullman porter', 'ostiary', ""porter's beer"", 'doorkeeper', 'O. Henry', 'Katherine Anne Porter', 'Cole Porter', 'porter', 'door guard', 'William Sydney Porter', 'gatekeeper', 'doorman', 'Cole Albert Porter', 'hall porter']"
artist,,,"['creative person', 'artist']"
nurse practitioner,,,[]
diplomat,,,"['diplomat', 'diplomatist']"
groundskeepers,,,"['groundskeeper', 'groundsman', 'groundkeeper']"
astrologer,,,"['astrologist', 'astrologer']"
copilots,,,"['co-pilot', 'copilot']"
obstetricians,,,"['obstetrician', 'accoucheur']"
audiologists,,,[]
repairers,,,"['repairer', 'mender', 'fixer']"
marketing specialists,,,[]
physiologists,,,['physiologist']
broker,,,"['broker', 'agent', 'factor']"
accountants,,,"['comptroller', 'accountant', 'controller']"
radiographer,,,['radiographer']
singers,,,"['Isaac Merrit Singer', 'vocalizer', 'Isaac M. Singer', 'vocaliser', 'Singer', 'singer', 'vocalist', 'Isaac Bashevis Singer']"
psychiatrist,,,"['head-shrinker', 'shrink', 'psychiatrist']"
retail workers,,,[]
chemist,,,"['chemist', 'pharmacist', 'apothecary', 'pill pusher', 'druggist', 'pill roller']"
marine biologist,,,[]
bellhops,,,"['bellhop', 'bellman', 'bellboy']"
pressers,,,[]
lecturer,,,"['lecturer', 'lector', 'reader']"
copywriter,,,['copywriter']
patrol officers,,,[]
occupational therapists,,,[]
meat,,,"['core', 'pith', 'centre', 'nub', 'heart and soul', 'sum', 'marrow', 'center', 'heart', 'meat', 'nitty-gritty', 'kernel', 'substance', 'inwardness', 'gist', 'essence']"
butcher,,,"['bumbler', 'butcher', 'botcher', 'fumbler', 'sad sack', 'fuckup', 'stumbler', 'meatman', 'slaughterer', 'blunderer', 'bungler']"
hydrologists,,,['hydrologist']
sanders,,,"['smoother', 'drum sander', 'sander', 'electric sander']"
conductor,,,"['music director', 'director', 'conductor']"
truck,,,"['motortruck', 'hand truck', 'truck']"
software architect,,,[]
bartender,,,"['barkeep', 'barman', 'bartender', 'mixologist', 'barkeeper']"
production,,,"['yield', 'output', 'product', 'production']"
clergy,,,['clergy']
shoe,,,"['skid', 'brake shoe', 'horseshoe', 'shoe']"
mentor,,,"['wise man', 'mentor']"
audiologist,,,[]
truck drivers,,,[]
chemical,,,"['chemical', 'chemical substance']"
pilot,,,"['pilot', 'pilot program', 'archetype', 'buffer', 'pilot light', 'fender', 'pilot film', 'airplane pilot', 'original', 'pilot burner', 'cowcatcher']"
member,,,"['penis', 'member', 'appendage', 'extremity', 'phallus', 'fellow member']"
marine,,,"['marine', 'shipboard soldier', 'Marine', 'devil dog', 'leatherneck']"
counselor,,,"['counsel', 'counselor', 'counsellor', 'advocate', 'counselor-at-law', 'pleader']"
assistants,,,"['assistant', 'helper', 'help', 'supporter']"
veterinary technicians,,,[]
physicists,,,['physicist']
engineer,,,"['locomotive engineer', 'technologist', 'engine driver', 'engineer', 'applied scientist', 'railroad engineer']"
loaders,,,"['stevedore', 'longshoreman', 'dockhand', 'loader', 'dock worker', 'lumper', 'dock-walloper', 'docker', 'dockworker']"
librarians,,,"['bibliothec', 'librarian']"
chief justice,,,[]
filers,,,"['filing clerk', 'filer', 'file clerk']"
interior designers,,,[]
machinists,,,"['mechanic', 'machinist', 'shop mechanic']"
millwrights,,,['millwright']
lathe operators,,,[]
dispatcher,,,"['dispatcher', 'starter']"
molders,,,[]
helpers--brickmasons,,,[]
administrator,,,"['executive', 'decision maker', 'administrator']"
builder,,,"['builder', 'detergent builder', 'constructor']"
consultant,,,"['adviser', 'advisor', 'consultant']"
archivist,,,['archivist']
industrial-organizational psychologists,,,[]
cooks,,,"['Captain James Cook', 'cook', 'Captain Cook', 'James Cook', 'Cook']"
fermenter,,,[]
social worker,,,[]
behaviourist,,,"['behaviourist', 'behaviorist']"
geneticists,,,['geneticist']
roustabouts,,,"['roustabout', 'deckhand']"
diver,,,"['plunger', 'diver', 'underwater diver', 'frogman', 'loon']"
criminal,,,"['malefactor', 'criminal', 'felon', 'crook', 'outlaw']"
caretakers,,,['caretaker']
entertainers,,,['entertainer']
dental,,,"['alveolar', 'alveolar consonant', 'dental', 'dental consonant']"
wardens,,,['warden']
neuropsychologists,,,[]
cfo,,,"['chief financial officer', 'CFO']"
metal-refining workers,,,[]
driver/sales workers,,,[]
electrical,,,[]
fundraisers,,,['fundraiser']
preschool,,,['preschool']
secretaries,,,"['escritoire', 'secretaire', 'secretarial assistant', 'secretary', 'repository', 'writing table']"
kindergarten,,,['kindergarten']
firefighting,,,[]
brickmasons,,,[]
gynecologists,,,"['gynecologist', ""woman's doctor"", 'gynaecologist']"
astronomers,,,"['astronomer', 'uranologist', 'stargazer']"
coo,,,['coo']
medical,,,"['checkup', 'health check', 'medical', 'medical examination', 'medical checkup', 'medical exam']"
specialists,,,"['specialist', 'specialiser', 'medical specialist', 'specializer']"
sales,,,"['sale', 'sales agreement', 'gross sales', 'sales event', 'cut-rate sale', 'sales', 'gross revenue']"
setters,,,"['setter', 'typographer', 'typesetter', 'compositor']"
cosmonaut,,,"['spaceman', 'astronaut', 'cosmonaut']"
rehabilitation specialists,,,[]
labourer,,,"['laborer', 'manual laborer', 'jack', 'labourer']"
seller,,,"['vendor', 'vender', 'seller', 'trafficker', 'marketer']"
ecologists,,,['ecologist']
secretary,,,"['escritoire', 'secretaire', 'secretarial assistant', 'secretary', 'repository', 'writing table']"
sorters,,,['sorter']
chief,,,"['tribal chief', 'gaffer', 'foreman', 'headman', 'top dog', 'boss', 'chieftain', 'chief', 'head', 'honcho']"
counselors,,,"['counsel', 'counselor', 'counsellor', 'advocate', 'counselor-at-law', 'pleader']"
auditing,,,[]
transcriptionists,,,[]
laboratory,,,"['laboratory', 'lab', 'research lab', 'science lab', 'testing ground', 'research laboratory', 'science laboratory']"
guides,,,"['scout', 'templet', 'template', 'guidebook', 'usher', 'pathfinder', 'guide']"
bailiffs,,,['bailiff']
tailors,,,"['tailor', 'seamster', 'sartor']"
fiberglass laminators,,,[]
professor,,,"['prof', 'professor']"
paramedic,,,"['paramedical', 'paramedic']"
desk,,,['desk']
neurologist,,,"['neurologist', 'brain doctor']"
investor,,,['investor']
psychologist,,,['psychologist']
financial,,,[]
firefighters,,,"['fire-eater', 'firefighter', 'fireman', 'fire fighter']"
teachers,,,"['teacher', 'instructor']"
restaurant workers,,,[]
patternmaker,,,['patternmaker']
heating and air conditioning technicians,,,[]
vendor,,,"['vendor', 'vender', 'seller', 'trafficker', 'marketer']"
curator,,,"['conservator', 'curator']"
historians,,,"['historiographer', 'historian']"
interpreters,,,"['interpreter', 'representative', 'voice', 'interpretive program', 'spokesperson', 'translator']"
sonographers,,,[]
advisors,,,"['adviser', 'advisor', 'consultant']"
arrangers,,,"['adapter', 'arranger', 'organiser', 'transcriber', 'organizer']"
president,,,"['chairman', 'chair', 'President of the United States', 'Chief Executive', 'chairwoman', 'prexy', 'President', 'president', 'United States President', 'chairperson']"
operator,,,"['wheeler dealer', 'operator', 'hustler', 'manipulator']"
accountant,,,"['comptroller', 'accountant', 'controller']"
ceo,,,"['CEO', 'chief executive officer', 'chief operating officer']"
clerk,,,"['salesclerk', 'shop clerk', 'shop assistant', 'clerk']"
magistrates,,,['magistrate']
manufacturer,,,"['maker', 'manufacturer', 'producer', 'manufacturing business']"
distributors,,,"['distributer', 'allocator', 'distributor', 'electrical distributor']"
carriers,,,"['aircraft carrier', 'postman', 'letter carrier', 'mail carrier', 'attack aircraft carrier', 'common carrier', 'carrier wave', 'carrier', 'flattop', 'bearer', 'newsboy', 'toter', 'mailman', 'immune carrier']"
officials,,,"['functionary', 'official']"
helpers--installation,,,[]
controllers,,,"['restrainer', 'comptroller', 'control', 'controller', 'accountant']"
emergency,,,"['parking brake', 'exigency', 'emergency brake', 'pinch', 'emergency', 'hand brake']"
electricians,,,"['linesman', 'lineman', 'electrician']"
zoologist,,,"['zoologist', 'animal scientist']"
dosimetrists,,,[]
historian,,,"['historiographer', 'historian']"
restorer,,,"['renovator', 'refinisher', 'preserver', 'restorer']"
layers,,,"['bed', 'level', 'layer', 'stratum']"
paralegals,,,"['legal assistant', 'paralegal']"
arboriculturist,,,"['forester', 'tree farmer', 'arboriculturist']"
court reporters,,,[]
salespersons,,,"['sales representative', 'salesperson', 'sales rep']"
data entry keyers,,,[]
workers,,,"['doer', 'worker', 'proletarian', 'actor', 'prole']"
osteopath,,,"['osteopathist', 'osteopath']"
nurse,,,"['nurse', 'nanny', 'nursemaid']"
attendant,,,"['concomitant', 'attendant', 'meeter', 'attender', 'accompaniment', 'co-occurrence', 'tender', 'attendee']"
nannies,,,"['nurse', 'nanny-goat', 'nanny', 'nursemaid', 'she-goat']"
glass,,,"['crank', 'ice', 'shabu', 'Methedrine', 'methamphetamine hydrochloride', 'trash', 'chalk', 'glass', 'deoxyephedrine', 'methamphetamine', 'meth', 'glassful', 'looking glass', 'drinking glass', 'chicken feed', 'field glass', 'spyglass']"
dentist,,,"['dental practitioner', 'dentist', 'tooth doctor']"
jewelers,,,"['jewelry maker', 'jeweler', 'jeweller']"
operations,,,"['trading operations', 'surgical operation', 'mental process', 'surgical process', 'performance', 'procedure', 'process', 'operations', 'surgery', 'mathematical process', 'mathematical operation', 'surgical procedure', 'operation', 'cognitive operation', 'cognitive process', 'military operation', 'functioning']"
crew,,,"['bunch', 'work party', 'crew', 'gang', 'crowd']"
brokers,,,"['broker', 'agent', 'factor']"
operative,,,"['operative', 'secret agent', 'shamus', 'private eye', 'intelligence agent', 'private detective', 'private investigator', 'PI', 'intelligence officer', 'sherlock']"
cook,,,"['Captain James Cook', 'cook', 'Captain Cook', 'James Cook', 'Cook']"
morticians,,,"['undertaker', 'mortician', 'funeral undertaker', 'funeral director']"
material-moving workers,,,[]
fence erectors,,,[]
business,,,"['line of work', 'line', 'byplay', 'clientele', 'business organisation', 'job', 'business sector', 'patronage', 'stage business', 'commercial enterprise', 'business enterprise', 'occupation', 'business concern', 'business organization', 'business', 'concern']"
archeologists,,,"['archeologist', 'archaeologist']"
office,,,"['federal agency', 'situation', 'business office', 'government agency', 'office', 'power', 'billet', 'role', 'spot', 'position', 'agency', 'office staff', 'berth', 'part', 'authority', 'function', 'post', 'bureau', 'place']"
student,,,"['educatee', 'bookman', 'scholarly person', 'pupil', 'student', 'scholar']"
fabricators,,,"['storyteller', 'fabricator', 'fibber']"
shop,,,"['shop class', 'store', 'shop', 'workshop']"
nutritionists,,,"['dietitian', 'nutritionist', 'dietician']"
appraisers,,,"['valuator', 'authenticator', 'appraiser']"
technologists,,,"['engineer', 'technologist', 'applied scientist']"
school,,,"['schooling', 'school day', 'schooltime', 'shoal', 'schoolhouse', 'school']"
driller,,,[]
screenwriter,,,"['film writer', 'screenwriter']"
riggers,,,"['oil rigger', 'rigger brush', 'rigger']"
hairdressers,,,"['styler', 'hairdresser', 'stylist', 'hairstylist']"
writer,,,"['writer', 'author']"
geoscientists,,,[]
drafter,,,['drafter']
attendants,,,"['concomitant', 'attendant', 'meeter', 'attender', 'accompaniment', 'co-occurrence', 'tender', 'attendee']"
porter,,,"['Porter', 'Pullman porter', 'ostiary', ""porter's beer"", 'doorkeeper', 'O. Henry', 'Katherine Anne Porter', 'Cole Porter', 'porter', 'door guard', 'William Sydney Porter', 'gatekeeper', 'doorman', 'Cole Albert Porter', 'hall porter']"
oncologist,,,['oncologist']
engravers,,,['engraver']
air traffic controller,,,[]
instructor,,,"['teacher', 'instructor']"
authors,,,"['source', 'writer', 'generator', 'author']"
web developers,,,[]
hospitalists,,,[]
laundry workers,,,[]
craft workers,,,[]
psychologists,,,['psychologist']
worker,,,"['doer', 'worker', 'proletarian', 'actor', 'prole']"
bartenders,,,"['barkeep', 'barman', 'bartender', 'mixologist', 'barkeeper']"
dental assistants,,,[]
drywall installers,,,[]
healthcare,,,"['health care', 'healthcare']"
captain,,,"['headwaiter', ""maitre d'"", 'sea captain', 'police captain', 'captain', 'chieftain', 'police chief', 'master', 'skipper', ""maitre d'hotel"", 'senior pilot']"
curators,,,"['conservator', 'curator']"
butchers,,,"['bumbler', 'butcher', 'botcher', 'fumbler', 'sad sack', 'fuckup', 'stumbler', 'meatman', 'slaughterer', 'blunderer', 'bungler']"
electrician,,,"['linesman', 'lineman', 'electrician']"
3d animator,,,[]
3d modeller,,,[]
3d printing technician,,,[]
abrasive blasting operator,,,[]
absorbent pad machine operator,,,[]
academic advisor,,,[]
academic support officer,,,[]
accessories specialised seller,,,[]
accommodation manager,,,[]
accounting analyst,,,[]
accounting assistant,,,[]
accounting manager,,,[]
acoustical engineer,,,[]
acquisitions analyst,,,[]
activism officer,,,[]
activity leader,,,[]
actuarial assistant,,,[]
actuarial consultant,,,[]
administrative assistant,,,[]
admissions coordinator,,,[]
adult community care worker,,,[]
adult literacy teacher,,,[]
advanced nurse practitioner,,,[]
advanced physiotherapist,,,[]
advertising assistant,,,[]
advertising copywriter,,,[]
advertising installer,,,[]
advertising manager,,,[]
advertising media buyer,,,[]
advertising media planner,,,[]
advertising sales agent,,,[]
advertising specialist,,,[]
aerodynamics engineer,,,[]
aeronautical information service officer,,,[]
aeronautical information specialist,,,[]
aerospace engineering drafter,,,[]
aerospace engineering technician,,,[]
after-sales service technician,,,[]
aftersales service manager,,,[]
agricultural engineer,,,[]
agricultural equipment design engineer,,,[]
agricultural inspector,,,[]
agricultural machinery manager,,,[]
agricultural machinery technician,,,[]
agricultural policy officer,,,[]
agricultural raw materials distribution manager,,,[]
agricultural scientist,,,[]
agricultural technician,,,[]
agriculture vocational teacher,,,[]
agronomic crop production team leader,,,[]
air conditioning (and refrigeration) drafter,,,[]
air conditioning engineer,,,[]
air conditioning technician,,,[]
air force officer,,,[]
air force pilot,,,[]
air pollution analyst,,,[]
air separation plant operator,,,[]
air traffic instructor,,,[]
air traffic manager,,,[]
air traffic safety technician,,,[]
aircraft assembler,,,[]
aircraft assembly inspector,,,[]
aircraft assembly supervisor,,,[]
aircraft cargo operations coordinator,,,[]
